# 杀戮尖塔2 卡牌类名 -> 卡图文件名 参考清单
# 由 v0.107.1 游戏日志的“发现模式”导出（共 577 张）。
# 用法：文件名用右边那个（小写），放进 image/cards/ 下的根目录或 defect/regent/colorless/curse 子目录。
# 注意：卡池随游戏版本可能增删，以你自己游戏里的发现模式日志为准。
#
# 类名(ClassName)                  文件名(filename)
Abrasive                         abrasive.png
Accelerant                       accelerant.png
Accuracy                         accuracy.png
Acrobatics                       acrobatics.png
AdaptiveStrike                   adaptivestrike.png
Adrenaline                       adrenaline.png
Afterimage                       afterimage.png
Afterlife                        afterlife.png
Aggression                       aggression.png
Alchemize                        alchemize.png
Alignment                        alignment.png
AllForOne                        allforone.png
Anger                            anger.png
Anointed                         anointed.png
Anticipate                       anticipate.png
Apotheosis                       apotheosis.png
Apparition                       apparition.png
Armaments                        armaments.png
Arsenal                          arsenal.png
AscendersBane                    ascendersbane.png
AshenStrike                      ashenstrike.png
Assassinate                      assassinate.png
AstralPulse                      astralpulse.png
Automation                       automation.png
Backflip                         backflip.png
Backstab                         backstab.png
BadLuck                          badluck.png
BallLightning                    balllightning.png
BansheesCry                      bansheescry.png
Barrage                          barrage.png
Barricade                        barricade.png
Bash                             bash.png
BattleTrance                     battletrance.png
BeaconOfHope                     beaconofhope.png
BeamCell                         beamcell.png
BeatDown                         beatdown.png
BeatIntoShape                    beatintoshape.png
Beckon                           beckon.png
Begone                           begone.png
BelieveInYou                     believeinyou.png
BiasedCognition                  biasedcognition.png
BigBang                          bigbang.png
BlackHole                        blackhole.png
BladeDance                       bladedance.png
BladeOfInk                       bladeofink.png
BlightStrike                     blightstrike.png
BloodWall                        bloodwall.png
Bloodletting                     bloodletting.png
Bludgeon                         bludgeon.png
Blur                             blur.png
BodySlam                         bodyslam.png
Bodyguard                        bodyguard.png
Bolas                            bolas.png
Bombardment                      bombardment.png
BoneShards                       boneshards.png
BoostAway                        boostaway.png
BootSequence                     bootsequence.png
BorrowedTime                     borrowedtime.png
BouncingFlask                    bouncingflask.png
Brand                            brand.png
Break                            break.png
Breakthrough                     breakthrough.png
BrightestFlame                   brightestflame.png
BubbleBubble                     bubblebubble.png
Buffer                           buffer.png
BulkUp                           bulkup.png
BulletTime                       bullettime.png
Bully                            bully.png
Bulwark                          bulwark.png
BundleOfJoy                      bundleofjoy.png
Burn                             burn.png
BurningPact                      burningpact.png
Burst                            burst.png
Bury                             bury.png
ByrdSwoop                        byrdswoop.png
ByrdonisEgg                      byrdonisegg.png
Calamity                         calamity.png
Calcify                          calcify.png
CalculatedGamble                 calculatedgamble.png
CallOfTheVoid                    callofthevoid.png
Caltrops                         caltrops.png
Capacitor                        capacitor.png
CaptureSpirit                    capturespirit.png
Cascade                          cascade.png
Catastrophe                      catastrophe.png
CelestialMight                   celestialmight.png
Chaos                            chaos.png
Charge                           charge.png
ChargeBattery                    chargebattery.png
ChildOfTheStars                  childofthestars.png
Chill                            chill.png
Cinder                           cinder.png
Clash                            clash.png
Claw                             claw.png
Cleanse                          cleanse.png
CloakAndDagger                   cloakanddagger.png
CloakOfStars                     cloakofstars.png
Clumsy                           clumsy.png
ColdSnap                         coldsnap.png
CollisionCourse                  collisioncourse.png
Colossus                         colossus.png
Comet                            comet.png
Compact                          compact.png
CompileDriver                    compiledriver.png
Conflagration                    conflagration.png
Conqueror                        conqueror.png
ConsumingShadow                  consumingshadow.png
Convergence                      convergence.png
Coolant                          coolant.png
Coolheaded                       coolheaded.png
Coordinate                       coordinate.png
CorrosiveWave                    corrosivewave.png
Corruption                       corruption.png
CosmicIndifference               cosmicindifference.png
Countdown                        countdown.png
CrashLanding                     crashlanding.png
CreativeAi                       creativeai.png
CrescentSpear                    crescentspear.png
CrimsonMantle                    crimsonmantle.png
Cruelty                          cruelty.png
CrushUnder                       crushunder.png
CurseOfTheBell                   curseofthebell.png
DaggerSpray                      daggerspray.png
DaggerThrow                      daggerthrow.png
DanseMacabre                     dansemacabre.png
DarkEmbrace                      darkembrace.png
DarkShackles                     darkshackles.png
Darkness                         darkness.png
Dash                             dash.png
Dazed                            dazed.png
DeadlyPoison                     deadlypoison.png
DeathMarch                       deathmarch.png
Deathbringer                     deathbringer.png
DeathsDoor                       deathsdoor.png
Debilitate                       debilitate.png
Debris                           debris.png
Debt                             debt.png
Decay                            decay.png
DecisionsDecisions               decisionsdecisions.png
DefendDefect                     defenddefect.png
DefendIronclad                   defendironclad.png
DefendNecrobinder                defendnecrobinder.png
DefendRegent                     defendregent.png
DefendSilent                     defendsilent.png
Defile                           defile.png
Deflect                          deflect.png
Defragment                       defragment.png
Defy                             defy.png
Delay                            delay.png
Demesne                          demesne.png
DemonForm                        demonform.png
